Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Santana,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,254466,41IShViF79gmulEkIHAjcb,6GI52t8N5F02MxU0g5U69P,USAR10201054
O.A.R.,Hey Girl,251274,1r80wrX4heL4wrllGZ0ogG,1Cq0LAHFfvUTBEtMPXUidI,USAT20300657
P!nk,Raise Your Glass,202960,1gv4xPanImH17bKZ9rOveR,1KCSPY1glIKqW2TotWuXOR,USLF21000090
Whitesnake,Here I Go Again,308800,29pzjF6ZkzcW3ofgOVbF0t,3UbyYnvNIT5DFXU4WgiGpP,USWWW0201491
Everclear,Santa Monica,191506,37EJtTS7jT5WUyXGZzrwnI,694QW15WkebjcrWgQHzRYF,USCA29500185
Better Than Ezra,Desperately Wanting,277493,7GuLQiPvQbfzP0kqcvgIQQ,4UuoJfJ9UybJft7a8E6UHX,USEE19694696
John Mellencamp,Cherry Bomb,287106,43oPpqzWPSZmeiwYicmzjG,3lPQ2Fk5JOwGWAF3ORFCqH,USJM18700002
Red Hot Chili Peppers,Dani California,282160,10Nmj3JCNoMeBQ87uw5j8k,0L8ExT028jH3ddEcZwqJJ5,USWB10600700
Feist,1234,183666,49CP2usyaN98EdtrOWXnal,6CWTBjOJK75cTE8Xv8u1kj,FRUM70600217
Nickelback,Rockstar,252040,3RlsVPIIs5KFhLFhxZ4iDF,6deZN1bslXzeGvOLaLMOIF,NLA320581343
U2,Vertigo,193520,1gVVSmhWjci8l9Vrsl6HaS,51Blml2LZPmy7TTiAg47vQ,GBAAN0400573
Sum 41,Fat Lip,178266,4KacUpvbA3Mfo05gttTjhN,0qT79UgT5tY4yudH9VfsdT,USIR20110124
Barenaked Ladies,One Week,169760,29hBRadFZf9QTGRHZmxm65,0dEvJpkqhrcn64d3oI8v79,USRE19800261
Sloan,The Rest of My Life,166645,01R3c3NRdhVN4E5iZlTSGV,1ahN3WDDULKaAQs7ZUrGNP,CAV160301771
The Sugarhill Gang,Rapper's Delight,427360,0FWhGmPVxLI6jOVF0wjALa,7zliF6Q946WznVk3ZMYhZX,USRH10403145
Beck,Loser,235000,5PntSbMHC1ud6Vvl8x56qd,3vbKDsSS70ZX9D2OcvbZmS,USGF19463401
Prince,Little Red Corvette,296906,4iozhXt27eMl39W5z7R8H6,5a2EaR3hamoenG9rDuVn8j,USWB10003038
Prince,1999,379266,2H7PHVdQ3mXqEHXcvclTB0,5a2EaR3hamoenG9rDuVn8j,USWB18200028
Lifehouse,Halfway Gone,195306,7AsqUKKbPMxOFNIbRLBxHt,5PokPZn11xzZXyXSfnvIM3,USUM70903932
Lifehouse,You And Me,195493,0815caqt2Lytro5EIzMufT,5PokPZn11xzZXyXSfnvIM3,USDW10500001
Lifehouse,Hanging By A Moment,216066,0wqOReZDnrefefEsrIGeR4,5PokPZn11xzZXyXSfnvIM3,USDW10022031
The Northern Pikes,Teenland,242426,75ZayCSH5QELsJho5LhSZZ,2BLAzgwe8OzvLOPTZDBCtw,CAV118710010
LFO,Summer Girls,257333,7uYroF9RRrhRJBrigRvB6H,1FizW0swe8ODtXvEOHXbHX,DEA819900423
C̩line Dion,One Heart,204133,4kuKPDTLZgJFUXAS8jQtnZ,4S9EykWXhStSc15wEx8QFK,CAC220200294
Cyndi Lauper,Time After Time,241333,7o9uu2GDtVDr9nsR7ZRN73,2BTZIqw0ntH9MvilQ3ewNY,USSM18300650
Starship,Nothing's Gonna Stop Us Now,270333,3X7uFMzJrEE0sxn62qd8Ch,0kObWap02DEg9EAJ3PBxzf,USRC18702968
Weezer,Island In The Sun,200306,2MLHyLy5z5l5YRp7momlgw,3jOstUTkEu2JkjvRdBA5Gu,USIR10110358
Deep Blue Something,Breakfast at Tiffany's,320400,0SaOhWDuRf7X67Xv9q68QZ,5N5RfI8FFXk4WQ8kkjE407,USZXT1011813
Barenaked Ladies,It's All Been Done,206000,1VBRdl1sT4DGckQaTzKEB9,0dEvJpkqhrcn64d3oI8v79,USRE19800262
Barenaked Ladies,Pinch Me,285160,2RQ3fWFZJJe4G5KkHEACww,0dEvJpkqhrcn64d3oI8v79,USRE10000774
Barenaked Ladies,Brian Wilson,287773,2Eky0Rjbrv0YmNy3wrMtSM,0dEvJpkqhrcn64d3oI8v79,USRE19200002
Jewel,Who Will Save Your Soul,239293,0OH8dSQmKm2zjhqRPYsk1h,6FbDoZnMBTdhhhLuJBOOqP,USAT29400031
Jewel,You Were Meant For Me,254480,7y7aSSTiQfO0Ace4F7yxzE,6FbDoZnMBTdhhhLuJBOOqP,USAT20100948
Jewel,Standing Still,270333,6a0e5Fb8cwz8pklTJOFGju,6FbDoZnMBTdhhhLuJBOOqP,USAT20107801
Del Amitri,Roll To Me,132306,7LF0YY1gON8rBECsyEs0Wb,2Q4FnG5T6NTUcAAZwuMV5K,GBAAM9500007
Linkin Park,Breaking the Habit,196906,6n8TMVyFKoUmDc4apxceRD,6XyY86QOPPrYVGvF9ch6wz,USWB10300470
